name,description,category,train_set_mean,train_set_stddev,coefficient
age,NA,demographics,62.57848659,14.60791824,-0.06485183
female,NA,demographics,0.526564988,0.499293803,0.019669421
diag_041.86,Helicobacter pylori [H. pylori],dx_proc_medi,0.00162103,0.024063886,0.000550435
diag_053.9,Herpes zoster without mention of complication,dx_proc_medi,0.00490499,0.042421689,-0.013326321
diag_070.54,Chronic hepatitis C without mention of hepatic coma,dx_proc_medi,0.003341574,0.036410511,0.009679389
diag_070.70,Unspecified viral hepatitis C without hepatic coma,dx_proc_medi,0.003194922,0.037937999,0.00301112
diag_110.1,Dermatophytosis of nail,dx_proc_medi,0.002977562,0.031503861,-0.002670905
diag_112.84,Candidal esophagitis,dx_proc_medi,0.00077778,0.019395185,0.007401476
diag_136.9,Unspecified infectious and parasitic diseases,dx_proc_medi,0.002050511,0.02780734,0.015348224
diag_141.9,"Malignant neoplasm of tongue, unspecified",dx_proc_medi,0.001545085,0.025450479,-0.007369613
diag_145.9,"Malignant neoplasm of mouth, unspecified",dx_proc_medi,0.00108156,0.021767245,-0.007325738
diag_147.9,"Malignant neoplasm of nasopharynx, unspecified site",dx_proc_medi,0.001778157,0.027920037,0.00695611
diag_150.9,"Malignant neoplasm of esophagus, unspecified site",dx_proc_medi,0.003208016,0.04585568,-0.019695306
diag_151.0,Malignant neoplasm of cardia,dx_proc_medi,0.001827914,0.032069632,0.001319601
diag_151.9,"Malignant neoplasm of stomach, unspecified site",dx_proc_medi,0.008728421,0.072813623,-0.020257492
diag_153.9,"Malignant neoplasm of colon, unspecified site",dx_proc_medi,0.025886722,0.118931451,0.014179929
diag_154.1,Malignant neoplasm of rectum,dx_proc_medi,0.010396589,0.073198201,0.005828026
diag_155.0,"Malignant neoplasm of liver, primary",dx_proc_medi,0.005970837,0.055101613,-0.005683698
diag_155.1,Malignant neoplasm of intrahepatic bile ducts,dx_proc_medi,0.003077076,0.045152534,-0.012415864
diag_155.2,"Malignant neoplasm of liver, not specified as primary or secondary",dx_proc_medi,0.006945026,0.060335146,-0.010931402
diag_156.0,Malignant neoplasm of gallbladder,dx_proc_medi,0.001078941,0.027177998,-0.011939334
diag_157.0,Malignant neoplasm of head of pancreas,dx_proc_medi,0.003312767,0.045640707,-0.011076891
diag_157.9,"Malignant neoplasm of pancreas, part unspecified",dx_proc_medi,0.011632657,0.086786166,-0.024951052
diag_162.5,"Malignant neoplasm of lower lobe, bronchus or lung",dx_proc_medi,0.006355799,0.055446597,-0.005840439
diag_162.9,"Malignant neoplasm of bronchus and lung, unspecified",dx_proc_medi,0.042018457,0.156557939,-0.017400524
diag_170.2,"Malignant neoplasm of vertebral column, excluding sacrum and coccyx",dx_proc_medi,0.001712688,0.029746192,0.016407542
diag_171.0,"Malignant neoplasm of connective and other soft tissue of head, face, and neck",dx_proc_medi,0.001914334,0.030122189,-0.003841606
diag_171.4,Malignant neoplasm of connective and other soft tissue of thorax,dx_proc_medi,0.00140367,0.024952168,-0.014231247
diag_172.9,"Melanoma of skin, site unspecified",dx_proc_medi,0.009202422,0.067511275,0.000917901
diag_174.0,Malignant neoplasm of nipple and areola of female breast,dx_proc_medi,0.002532368,0.03298353,-0.001026819
diag_174.8,Malignant neoplasm of other specified sites of female breast,dx_proc_medi,0.009893782,0.056166254,0.002603439
diag_175.9,Malignant neoplasm of other and unspecified sites of male breast,dx_proc_medi,0.000921813,0.01948151,0.013477959
diag_180.9,"Malignant neoplasm of cervix uteri, unspecified site",dx_proc_medi,0.003682016,0.045400195,-0.012355365
diag_183.0,Malignant neoplasm of ovary,dx_proc_medi,0.013044184,0.08217231,0.016099645
diag_186.9,Malignant neoplasm of other and unspecified testis,dx_proc_medi,0.005373753,0.053211787,0.02523781
diag_188.8,Malignant neoplasm of other specified sites of bladder,dx_proc_medi,0.00146914,0.026283806,-0.003939922
diag_188.9,"Malignant neoplasm of bladder, part unspecified",dx_proc_medi,0.006842894,0.059221599,0.001347184
diag_189.0,"Malignant neoplasm of kidney, except pelvis",dx_proc_medi,0.012261167,0.082047787,-0.007178655
