,coef,feature
53,-1.7606586434569358,bad
228,-0.8852641409165579,no
132,-0.8041204448267555,even
229,-0.7430073344268204,not
264,-0.6918319648544473,only
231,-0.6609464666813821,not even
195,-0.6122638005355854,just
270,-0.5233729497958011,out of
127,-0.521632558634055,do
459,-0.513220874326326,up
376,-0.49066165378645,the bad
273,-0.4805048804347763,plot
174,-0.47928070144678997,have no
226,-0.46839557858113007,much
206,-0.4647388402968909,look like
396,-0.448015572076253,the only
265,-0.43325562502946713,or
55,-0.42957192934522054,be
494,-0.42098733146160705,with this
82,-0.4098351565444393,be of
39,-0.4046305230368073,any
204,-0.397371081632382,look
499,-0.39182214093818457,would not
155,-0.3913664579777722,get
4,-0.39036855151123984,actor
496,-0.3837755152600083,would
128,-0.3825532000837401,do not
436,-0.37920937147879386,to
345,-0.37072787620903475,seem
54,-0.36849516283960837,bad pron
448,-0.3650137205235995,to pron
301,-0.3581824465722301,pron just
129,-0.3575294906652401,do pron
50,-0.3561632665004868,at all
389,-0.35305916582280406,the have
266,-0.3376596296731129,or pron
467,-0.3340593942039254,watch this
110,-0.3222581154144054,but this
49,-0.31972328790922905,at
170,-0.31136785602999967,have
438,-0.3076820171322197,to be
416,-0.30476010335875436,then
418,-0.2973305695177123,there
424,-0.29494862102925445,this
362,-0.29370352093585655,that
351,-0.28992392887390717,so pron
364,-0.28582488017885954,that be
40,-0.281365017612537,any of
134,-0.2789825143538197,even the
75,-0.27734987252330595,be just
88,-0.27422298876776,be pron
209,-0.27356150927942,make
133,-0.26965989255949546,even pron
458,-0.26305454082071683,two
126,-0.26081762319096513,could not
349,-0.25993423381858716,so
305,-0.25717635156002655,pron look
255,-0.2554993172827727,on
109,-0.24960444312271274,but the
269,-0.24882748608907557,out
124,-0.24843735200021236,could
196,-0.24662313787875834,just pron
63,-0.24502281022539366,be bad
327,-0.24105263661554333,pron up
237,-0.23775010487723047,not the
498,-0.23229156859196426,would have
71,-0.23157995381683522,be go
235,-0.22682409033341971,not pron
106,-0.22448008461492872,but
325,-0.22218478353699272,pron time
115,-0.21942089694393502,can
377,-0.2163635455393189,the be
77,-0.2152273662395299,be make
217,-0.21324861286289842,movie
147,-0.21103988860508419,for
233,-0.21099111584161342,not in
200,-0.2104793328897463,like
466,-0.21032025452752404,watch the
346,-0.20957270720583449,seem to
339,-0.208544275538088,scene
259,-0.20842031029947683,on this
407,-0.20600429863790085,the thing
381,-0.2038842511458875,the do
182,-0.2033243498832274,if
478,-0.20327872174056902,which
64,-0.20014904485531648,be be
429,-0.20014784095433286,this of
252,-0.19498708011237334,of this
372,-0.18628234271036767,the actor
138,-0.18609693314629627,film have
383,-0.1836397823802065,the film
274,-0.18324534887158264,plot be
162,-0.1815506442772041,go on
15,-0.1806377662470451,an of
16,-0.1804855076121208,an pron
302,-0.17590593100745894,pron know
62,-0.17304906265437286,be at
352,-0.1722822620362345,so that
425,-0.17175165588568553,this and
81,-0.17055084706491436,be not
439,-0.16896359365595878,to do
65,-0.16696704335426416,be but
442,-0.1653697870821098,to get
392,-0.16428261163259056,the movie
294,-0.1622137950547504,pron give
328,-0.1619873939872976,pron want
286,-0.16185156046680615,pron come
254,-0.16037916868982752,of with
290,-0.15979383599739216,pron find
457,-0.15806027361479466,too
421,-0.1574563581044505,think
243,-0.15642997428089261,of be
67,-0.15382964348896,be do
114,-0.1526521284331237,by the
257,-0.1524292537068845,on pron
47,-0.15240843783011593,as to
316,-0.1512731792602003,pron say
193,-0.15028884131709527,into
25,-0.15008905737997968,and have
180,-0.14607680085459937,how
445,-0.14527050213594928,to in
497,-0.14463529723319454,would be
359,-0.1437449970908506,than
401,-0.14361374972434476,the pron
125,-0.14301853847913323,could have
179,-0.1387474809653532,have to
5,-0.13707880606797007,after
410,-0.13537528881262728,the to
473,-0.13281374111507815,what be
420,-0.13256148218843533,thing
172,-0.13045644992028782,have be
423,-0.12801205611658428,think that
370,-0.12685306269383156,that to
76,-0.12523243824634053,be like
0,-0.1245285492520626,about
400,-0.1235044462077956,the plot
131,-0.12291691292750835,end
