feature_name,description,feature_category,coefficient (negative=shorter survival),train_set_mean,train_set_std_dev
age,NA,demographics,-0.06657499,62.70602909,14.64230239
female,NA,demographics,0.027673397,0.530205872,0.499086771
diag_053.9,Herpes zoster without mention of complication,dx_proc_medi,-0.01502906,0.004694004,0.040537601
diag_079.99,Unspecified viral infection,dx_proc_medi,0.001294801,0.001060299,0.019411356
diag_110.1,Dermatophytosis of nail,dx_proc_medi,0.000690718,0.00281809,0.03028794
diag_136.9,Unspecified infectious and parasitic diseases,dx_proc_medi,0.014830025,0.002075599,0.027783668
diag_141.9,"Malignant neoplasm of tongue, unspecified",dx_proc_medi,-0.0122485,0.001496231,0.024843645
diag_145.9,"Malignant neoplasm of mouth, unspecified",dx_proc_medi,-0.004943941,0.001057487,0.022254927
diag_147.9,"Malignant neoplasm of nasopharynx, unspecified site",dx_proc_medi,0.006681116,0.001819665,0.028408278
diag_150.9,"Malignant neoplasm of esophagus, unspecified site",dx_proc_medi,-0.013849997,0.003493081,0.04853755
diag_151.9,"Malignant neoplasm of stomach, unspecified site",dx_proc_medi,-0.022642026,0.008518956,0.072274824
diag_153.3,Malignant neoplasm of sigmoid colon,dx_proc_medi,0.001933763,0.005456182,0.051510402
diag_154.1,Malignant neoplasm of rectum,dx_proc_medi,0.006309914,0.010673304,0.074181699
diag_155.0,"Malignant neoplasm of liver, primary",dx_proc_medi,-0.004117546,0.00657273,0.058900053
diag_155.1,Malignant neoplasm of intrahepatic bile ducts,dx_proc_medi,-0.015412933,0.003026212,0.044274943
diag_155.2,"Malignant neoplasm of liver, not specified as primary or secondary",dx_proc_medi,-0.012498178,0.007132411,0.061838517
diag_156.0,Malignant neoplasm of gallbladder,dx_proc_medi,-0.012050835,0.001172798,0.02786795
diag_157.9,"Malignant neoplasm of pancreas, part unspecified",dx_proc_medi,-0.023507725,0.011725166,0.086931425
diag_158.9,"Malignant neoplasm of peritoneum, unspecified",dx_proc_medi,-0.009930014,0.002759028,0.036977446
diag_162.3,"Malignant neoplasm of upper lobe, bronchus or lung",dx_proc_medi,0.008743648,0.008125211,0.062774905
diag_162.5,"Malignant neoplasm of lower lobe, bronchus or lung",dx_proc_medi,-0.013588064,0.005841489,0.053913454
diag_162.9,"Malignant neoplasm of bronchus and lung, unspecified",dx_proc_medi,-0.023671431,0.038662954,0.151188483
diag_171.0,"Malignant neoplasm of connective and other soft tissue of head, face, and neck",dx_proc_medi,-0.007852801,0.001853414,0.029818969
diag_171.3,"Malignant neoplasm of connective and other soft tissue of lower limb, including hip",dx_proc_medi,-0.003651392,0.002061537,0.029958248
diag_171.4,Malignant neoplasm of connective and other soft tissue of thorax,dx_proc_medi,-0.011545634,0.001167173,0.022351913
diag_171.9,"Malignant neoplasm of connective and other soft tissue, site unspecified",dx_proc_medi,-0.001642044,0.009627067,0.068593243
diag_172.3,Malignant melanoma of skin of other and unspecified parts of face,dx_proc_medi,0.002346192,0.001240297,0.022347974
diag_172.9,"Melanoma of skin, site unspecified",dx_proc_medi,-0.009136839,0.009227697,0.069391772
diag_174.8,Malignant neoplasm of other specified sites of female breast,dx_proc_medi,0.004886432,0.009545506,0.054693188
diag_179,"Malignant neoplasm of uterus, part unspecified",dx_proc_medi,-0.002002188,0.005743053,0.054966846
diag_180.9,"Malignant neoplasm of cervix uteri, unspecified site",dx_proc_medi,-0.005822921,0.004049949,0.047976787
diag_183.0,Malignant neoplasm of ovary,dx_proc_medi,0.020900097,0.013913264,0.084861333
diag_186.9,Malignant neoplasm of other and unspecified testis,dx_proc_medi,0.029254027,0.005065249,0.051873237
diag_188.9,"Malignant neoplasm of bladder, part unspecified",dx_proc_medi,-0.006174146,0.00739397,0.061901568
diag_195.2,Malignant neoplasm of abdomen,dx_proc_medi,-0.004173291,0.002933401,0.039018338
diag_196.2,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,dx_proc_medi,-0.016049786,0.009871752,0.069178686
diag_196.5,Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb,dx_proc_medi,-0.005846733,0.001178423,0.026230074
diag_196.6,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,dx_proc_medi,0.00292186,0.004440882,0.047725368
diag_196.9,"Secondary and unspecified malignant neoplasm of lymph nodes, site unspecified",dx_proc_medi,-0.005997762,0.011151423,0.069711441
diag_197.0,Secondary malignant neoplasm of lung,dx_proc_medi,-0.017043753,0.042403532,0.151431807
diag_197.6,Secondary malignant neoplasm of retroperitoneum and peritoneum,dx_proc_medi,-0.01293783,0.01979694,0.111378399
diag_197.7,"Malignant neoplasm of liver, secondary",dx_proc_medi,-0.028652977,0.057031162,0.183406229
diag_198.2,Secondary malignant neoplasm of skin,dx_proc_medi,-0.004879762,0.005548993,0.059005302
diag_198.3,Secondary malignant neoplasm of brain and spinal cord,dx_proc_medi,-0.022250408,0.030231185,0.140160058
diag_198.5,Secondary malignant neoplasm of bone and bone marrow,dx_proc_medi,-0.01705062,0.060476432,0.185617781
